1000 1  0

4503	1207	2844	2522	1507	360	3842	3243	4673	5481	
5013	1087	5362	2725	407	3326	1129	840	663	5158	
585	754	3975	3670	4042	1082	1118	2633	4699	222	
1330	3530	4690	2871	5141	315	529	2267	2405	735	
5453	4785	3585	2310	4311	1564	4191	598	844	2153	
5041	2421	3222	3992	3814	923	4263	260	3880	2650	
1882	3193	885	3522	3795	2934	1953	1069	589	41	
119	4485	4143	3043	3453	3158	4529	815	5102	3094	
5474	3818	4123	2617	193	853	5184	4717	1949	3600	
1718	3484	3487	5190	1681	2959	2841	1600	436	855	
554	3921	4270	3327	5326	1729	4488	3426	1705	483	
2617	1687	1609	4844	3776	2181	4741	3104	1538	5331	
1794	3810	5311	5003	1254	1878	224	3296	5381	4316	
1475	293	3290	1532	2707	4785	3812	5336	5307	3507	
1963	5467	156	785	33	3446	1853	1410	4771	2663	
5472	3562	2052	3871	452	4950	1515	457	338	3026	
546	123	398	3021	3559	2549	3561	4424	182	5115	
4970	5053	4454	4893	3402	4823	371	1050	1186	2652	
699	1075	3305	4909	303	1283	1321	94	2769	4195	
1729	2709	4421	3892	4329	253	1249	1113	2818	4872	
2303	1500	184	2475	2287	4322	4648	4930	775	1025	
2274	22	4252	679	4058	4529	217	3894	4969	3358	
1040	2703	2898	2360	270	536	283	4985	2973	2856	
2451	1293	1953	3168	3126	3637	89	4673	4290	4298	
3045	2871	4902	3957	2091	3053	3095	3802	4371	4323	
4124	592	74	3201	1132	2956	3880	3331	4380	3939	
4299	4193	5119	4698	1932	4294	2116	1293	1169	4159	
3403	522	696	1323	4353	3013	3692	4537	2423	2755	
3348	1707	3352	4985	4476	1527	3645	4960	4172	2449	
2786	3172	2730	881	3583	4243	3246	5227	1817	485	
5051	1220	4452	4299	200	5313	501	2945	3790	2885	
1423	5253	338	4001	3179	2464	481	459	3630	2393	
1457	105	3686	4003	3875	1484	4119	2754	417	1127	
4738	2161	5254	3891	4245	2532	787	4455	3047	3870	
2386	1839	5006	4	1446	2958	4878	223	5263	1553	
4342	3775	1076	4267	3799	1054	3434	197	1366	2157	
1257	665	5458	311	1359	3269	521	4114	5095	175	
146	391	567	4055	2133	4663	5327	3549	2824	5498	
935	4202	266	1390	4093	5276	2191	3350	3950	141	
3717	4072	5303	934	2398	545	5018	2941	3381	4209	
4856	4025	3352	65	5190	5026	3444	871	926	4860	
5398	1430	5484	4142	2377	4441	2144	3728	999	3726	
1124	3823	3875	3480	1999	3378	4222	3503	2934	5388	
5344	2948	2931	2438	85	316	767	1360	542	736	
3123	1593	3371	1655	887	781	3985	1640	2308	3179	
1574	2655	943	5440	3793	4633	3681	4820	5041	226	
200	182	2603	3892	4904	3358	594	1019	3989	2380	
2416	341	553	696	2188	5345	2836	3938	112	4949	
337	3888	3989	3945	1708	572	3739	195	4916	1221	
680	5474	1712	1063	4722	4013	1443	2137	999	3039	
4625	2639	3786	4202	1081	2082	213	4271	3414	5441	
2422	1578	1204	1404	2044	2071	5247	862	3261	4829	
164	4232	1963	1626	921	2314	4488	1218	2683	5026	
1580	3100	3922	3341	699	2749	2794	2279	149	281	
1150	2748	4020	2055	597	4242	2002	4202	2467	3279	
3190	2515	851	4482	3449	679	1723	3663	4458	456	
5300	1749	4792	4533	2238	1769	2464	1064	5301	678	
4205	2577	5332	3156	3402	5165	348	1479	1480	3725	
693	4379	3910	167	4698	1899	1047	2709	1296	2391	
2132	3527	2924	1932	936	3087	150	1296	4456	2283	
4698	4364	3893	9	2067	3016	2635	4780	4456	4367	
746	5077	4893	2185	2206	2859	1424	22	1980	3211	
5306	2146	1209	1454	2289	233	5087	1237	1381	5134	
2784	5312	1300	981	3868	4293	628	4910	284	3123	
4286	4101	3987	3946	1430	630	150	4179	4543	560	
4317	4630	2517	1524	4201	3973	2659	2952	5406	2228	
173	814	3624	5097	2120	2440	1147	4634	3798	3575	
4153	5427	117	2854	1140	4591	2489	3962	14	1136	
1648	5209	4966	3670	31	1672	514	4026	4475	4546	
2077	3560	5034	2265	559	4874	682	4818	5382	3500	
4374	1078	2553	1372	1666	1773	1776	5205	4333	360	
2501	2978	2334	2700	4730	54	1414	5491	4230	3679	
189	4407	4699	1648	4502	4022	4778	5064	4229	4218	
4344	1479	652	3357	4965	177	517	988	16	668	
2259	760	5224	3277	1450	3242	4926	2311	2266	1300	
4110	240	3737	295	2461	5341	703	4074	1553	987	
606	217	4230	434	3547	4365	1924	3051	909	2132	
1776	5231	1883	3204	554	4868	5404	834	4170	1560	
2528	1680	4109	1598	3254	4701	5186	903	3037	897	
1259	5138	3140	2699	2615	2129	2204	3440	563	3310	
1199	4828	2615	691	3064	630	4332	4871	4439	4941	
909	2862	108	1611	3608	121	4316	4901	3647	2057	
3177	4882	1773	1286	3757	4307	844	2358	551	3182	
2174	3965	3822	4086	4366	3416	5279	2958	2246	400	
2508	3983	1592	145	1181	4376	642	4117	297	1701	
3936	1240	2923	438	2926	3311	3330	4922	3345	3295	
619	2083	5128	205	3431	1350	1285	5117	1404	505	
4863	697	131	1331	3930	1672	88	2844	3956	1909	
4259	5251	3896	375	618	3352	2319	4180	570	232	
4453	3304	185	4586	3302	1305	1182	3842	4875	4074	
4670	5331	3076	2578	4239	1218	1576	5388	1049	2638	
1226	770	2398	323	1172	4155	535	3662	2304	2966	
2307	1884	2257	1063	2412	5448	1932	4046	4287	1419	
4513	1325	2774	2444	716	2952	1213	2667	4674	1172	
1551	687	2972	819	467	3010	3816	176	466	633	
676	2145	4145	1291	1576	1445	1317	1008	3065	892	
2941	4844	1334	1652	1711	211	3380	2175	900	3080	
4859	806	4279	4831	3309	1337	4334	1264	4159	3653	
4634	220	1224	1992	1929	437	4559	1217	2032	2987	
630	3286	2496	4927	2239	3823	5451	3148	4312	5191	


1622	1752	1071	2287	1031	2031	3922	688	109	3814	
5008	2865	2170	47	1987	4751	1929	2371	2260	510	
4387	615	2121	3154	4590	2092	1920	4699	2213	4011	
2941	156	2005	402	899	183	1554	5349	822	838	
2354	2588	1190	3719	2396	3467	219	4476	2342	1025	
4403	180	3319	2171	3170	4192	2609	2407	3005	82	
3979	1090	878	2484	484	4548	3656	1301	2553	4619	
3505	2295	2775	3028	4998	3095	4066	1816	2429	3992	
1462	4376	1839	4148	3118	4117	2942	472	1723	5391	
2972	312	2182	2366	1633	5208	2430	1348	4460	4531	
269	5023	410	3624	4647	1153	2656	567	965	491	
1749	516	4551	1036	2594	3339	190	5111	3664	832	
3506	5217	1925	2125	2996	4823	646	1963	4553	708	
2182	5288	4381	5001	852	155	4972	4255	5257	4085	
4852	3982	2515	6	948	3213	2459	3070	169	5395	
1523	2628	3269	3096	4740	1841	4583	2249	1833	4981	
428	882	3257	1444	2524	4295	2865	546	1269	1246	
