1000 1  0

1912	701	2951	1130	2545	2211	618	2287	1333	2845	
824	1106	747	1093	2320	1796	959	506	1922	902	
2548	1291	2664	1637	3133	809	724	1377	2498	2995	
1576	3224	2037	1349	2072	258	1940	2064	193	1117	
815	3309	2573	576	1012	2631	1703	2421	2269	1939	
2094	1508	993	707	790	3347	340	2726	1651	2333	
2182	936	660	749	1408	2956	70	979	1984	1511	
1943	2383	3460	1868	1307	3298	1215	2139	3218	3122	
2756	180	2545	914	3029	2778	2276	2957	1365	1586	
503	1302	1331	1972	610	2919	3065	2558	795	28	
418	1089	1005	42	2970	2505	743	1429	2039	146	
37	3144	2842	598	2367	1586	2025	568	3405	1136	
1624	1761	2473	1736	2871	2566	1669	513	2247	1034	
1643	3081	2094	2002	3062	2733	29	261	704	2129	
3085	1727	923	483	3201	2344	2346	3158	1248	1232	
3422	40	913	1642	2564	1790	2744	114	1987	2392	
1527	1093	1779	2508	91	1721	1191	641	1418	1503	
184	454	3245	2895	2597	2126	254	2584	720	1026	
2080	2159	2971	657	2451	694	2397	2145	626	1298	
1236	164	3392	3406	2271	1142	578	795	2987	2302	
2337	1112	772	1863	1786	398	1122	2558	1748	2035	
2046	1348	3186	1204	687	1894	246	1916	511	2812	
2826	124	1518	2616	3147	2418	787	1014	1751	1476	
3440	139	1606	1612	2343	2400	1849	2987	3243	2230	
1628	2492	2079	2597	1413	2248	2519	1895	1408	1869	
1884	76	932	568	1791	581	2968	2157	2702	3090	
1573	1851	1267	1597	348	2938	1654	2971	1410	2339	
3152	3188	1385	3184	2312	3100	130	458	2143	158	
1591	1553	1609	2309	1387	1332	959	1078	3294	2958	
473	1587	1780	241	1787	444	2628	951	2509	490	
748	3146	2908	861	1104	571	2420	467	952	524	
1254	1113	2579	2867	950	2606	352	3061	3275	3152	
134	1862	919	3484	1910	1062	1370	1283	2309	3119	
3379	2541	884	2267	3012	1076	1897	872	145	543	
1201	2295	957	920	501	1520	1130	2076	1271	2378	
1655	3451	2004	717	3273	3158	2921	397	3076	1739	
904	3001	1897	2353	1777	943	3056	1815	2807	2748	
948	2371	2563	2086	3140	2784	957	2495	3217	3186	
2499	2033	2850	1479	1499	230	639	2277	846	2835	
643	884	2572	3222	1299	2630	2088	213	1287	2754	
887	2446	780	520	318	543	630	3365	982	102	
3145	989	2289	203	738	2998	1504	418	512	1552	
2996	3159	2345	2801	1887	2722	2148	2352	2293	1122	
270	2447	17	1364	555	2966	2975	1771	896	2419	
2669	2614	1712	3145	3352	1211	924	2871	1994	424	
3065	16	2028	2622	2402	43	1063	1848	640	78	
3027	702	1716	2936	1804	311	1685	3148	874	1529	
1637	89	2602	3334	2726	710	726	2370	1510	2076	
423	385	1989	2097	381	756	19	2257	844	1340	
673	2980	731	3148	2694	2117	1637	3106	3352	883	
2850	734	198	963	744	220	1444	2447	988	2712	
2464	670	844	2297	3365	810	2316	3412	1724	1580	
707	1748	3153	916	3205	3037	3320	623	204	1659	
298	2982	1052	2074	187	303	1516	624	1534	32	
3417	708	3410	1097	3424	2979	1625	3476	2973	2659	
769	884	624	1086	1800	428	2836	3121	789	710	
868	2742	2427	2546	2596	240	267	2659	2338	3084	
2376	98	2935	2531	2883	4	2588	2232	1540	2326	
2548	1848	849	548	2590	22	1692	812	2185	479	
2654	1317	1422	3053	2424	963	1945	17	2103	539	
1993	2246	517	2205	774	188	2740	3287	563	624	
3363	1545	1212	2225	236	1829	2270	770	771	2482	
2627	3176	1271	3486	2525	650	933	821	1596	1688	
2270	2296	146	930	1945	2413	808	1073	884	3436	
699	1118	1546	2257	1465	1223	268	2898	2440	2239	
2625	999	2319	1087	1455	2478	2394	105	2742	2083	
632	302	2377	2466	2676	769	3110	2281	2142	511	
2964	1193	3221	243	2704	1185	3344	2165	1299	704	
2455	2816	1027	86	1869	2049	3255	487	2213	2655	
2138	3325	2826	3051	2208	1333	576	1315	2626	3358	
3019	1289	812	782	548	1634	1254	3170	2133	913	
1073	1575	632	1279	1977	2717	216	1546	283	1025	
